,id,name,country,country_code,abbreviation,week,Year
105,sr:competitor:305776,"Soto, Matias",Chile,CHL,SOT,16,2025
106,sr:competitor:121032,"Stalder, Reese",USA,USA,STA,16,2025
107,sr:competitor:60920,"Nedunchezhiyan, Jeevan",India,IND,NED,16,2025
108,sr:competitor:53759,"Prashanth, N. Vijay Sundar",India,IND,PRA,16,2025
109,sr:competitor:450383,"Harper, Cleeve",Canada,CAN,HAR,16,2025
110,sr:competitor:234044,"Kirkov, Vasil",USA,USA,KIR,16,2025
111,sr:competitor:296270,"Stevenson, David",Great Britain,GBR,STE,16,2025
112,sr:competitor:16854,"Molchanov, Denys",Ukraine,UKR,MOL,16,2025
113,sr:competitor:95923,"Paris, Joshua",Great Britain,GBR,PAR,16,2025
114,sr:competitor:50037,"Bortolotti, Marco",Italy,ITA,BOR,16,2025
115,sr:competitor:256001,"Ho, Ray",Chinese Taipei,TPE,RAY,16,2025
116,sr:competitor:102151,"Tabilo, Alejandro",Chile,CHL,TAB,16,2025
117,sr:competitor:299130,"Hijikata, Rinky",Australia,AUS,HIJ,16,2025
118,sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA,16,2025
119,sr:competitor:52260,"Vega, David",Spain,ESP,VEG,16,2025
120,sr:competitor:146040,"Gomez, Federico Agustin",Argentina,ARG,GOM,16,2025
121,sr:competitor:25021,"Cervantes, Inigo",Spain,ESP,CER,16,2025
122,sr:competitor:240880,"Hilderbrand, Trey",USA,USA,HIL,16,2025
123,sr:competitor:16492,"Eysseric, Jonathan",France,FRA,EYS,16,2025
124,sr:competitor:548169,"Yuzuki, Takeru",Japan,JPN,YUZ,16,2025
125,sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA,16,2025
126,sr:competitor:39712,"Saville, Luke",Australia,AUS,SAV,16,2025
127,sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN,16,2025
128,sr:competitor:111607,"Ingildsen, Johannes",Denmark,DNK,ING,16,2025
129,sr:competitor:163480,"Bublik, Alexander",Kazakhstan,KAZ,BUB,16,2025
130,sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR,16,2025
131,sr:competitor:77011,"Martos Gornes, Sergio",Spain,ESP,MAR,16,2025
132,sr:competitor:113889,"Liutarevich, Ivan",Neutral,,LIU,16,2025
133,sr:competitor:35766,"Begemann, Andre",Germany,DEU,BEG,16,2025
134,sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND,KAL,16,2025
135,sr:competitor:78387,"Hach Verdugo, Hans",Mexico,MEX,HAC,16,2025
